variety,planting_date,days_to_harvest,head_weight_kg,head_diameter_cm,soil_ph,irrigation_liters_week,pest_present,fertilizer_type,quality_grade
Краснокочанная,2024-03-26,138,1.08,16.3,6.98,13.1,True,Комплексное,B
Белокочанная,2025-09-26,91,3.37,15.7,5.68,10.0,False,Минеральное,B
Пекинская,2026-04-21,47,1.73,14.0,6.01,14.5,False,Комплексное,A
Брюссельская,2025-12-04,104,1.01,8.3,6.68,16.4,False,Без удобрений,B
Брокколи,2024-12-10,64,1.37,11.4,6.29,14.2,False,Комплексное,A
Брокколи,2024-12-02,65,0.7,9.5,7.57,9.7,False,Комплексное,B
Пекинская,2025-10-02,75,0.74,10.5,7.3,10.7,False,Биоудобрение,A
Брокколи,2025-10-19,63,1.24,10.5,6.16,15.7,False,Без удобрений,A
Краснокочанная,2025-03-30,100,2.75,15.2,6.12,17.9,False,Комплексное,A
Цветная,2024-06-23,102,1.97,17.9,5.9,13.2,False,Комплексное,A
Пекинская,2024-08-04,65,1.1,10.7,6.1,18.2,False,Биоудобрение,A
Брюссельская,2024-11-01,101,0.85,5.4,5.34,20.0,True,Минеральное,D
Савойская,2024-11-27,107,2.27,16.8,6.47,4.9,False,Комплексное,B
Кольраби,2024-07-02,56,0.33,11.7,5.79,13.8,False,Минеральное,A
Цветная,2024-05-12,106,1.86,14.9,6.43,12.2,False,Комплексное,A
Краснокочанная,2024-06-08,141,2.79,13.2,6.78,10.5,False,Без удобрений,A
Краснокочанная,2024-11-10,105,2.05,21.2,5.66,10.9,False,Минеральное,B
Белокочанная,2024-06-04,117,3.5,16.0,7.42,14.4,False,Органическое,B
Кольраби,2024-12-18,64,0.35,7.8,6.22,25.7,False,Комплексное,B
Белокочанная,2026-04-05,93,3.77,15.4,5.95,17.3,False,Минеральное,B
Пекинская,2025-04-18,73,1.36,13.5,5.49,15.3,False,Комплексное,B
Цветная,2024-10-31,74,0.72,16.7,5.84,16.9,False,Биоудобрение,A
Пекинская,2025-08-01,55,0.99,13.8,5.84,20.5,False,Минеральное,C
Белокочанная,2026-01-13,97,3.63,23.0,7.16,11.2,False,Органическое,A
Пекинская,2026-03-05,48,0.65,12.0,6.02,10.0,False,Органическое,B
Савойская,2025-12-13,104,1.09,21.6,7.55,15.3,False,Минеральное,B
Цветная,2025-10-18,72,2.21,13.5,6.53,11.9,False,Биоудобрение,A
Брокколи,2025-11-26,75,1.36,8.8,7.0,15.6,True,Комплексное,C
Брокколи,2026-05-31,88,1.32,17.6,6.81,12.7,True,Комплексное,C
Кольраби,2025-02-22,80,0.45,6.4,5.93,13.8,True,Органическое,C
Брокколи,2026-01-25,77,0.72,15.4,7.55,3.8,True,Биоудобрение,D
Цветная,2026-03-17,86,0.72,16.1,7.09,2.4,True,Биоудобрение,D
